,evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord
4,9,09:18,[DAL 2-0] Johnson Turnaround Jump Shot: Made (2 PTS),-54,133,2,0,47,1,,1611661321,203017,0,2,,1611661321,90000
5,10,08:57,[ATL 2-2] Williams Turnaround Fadeaway Bank Jump Shot: Made (2 PTS) Assist: Montgomery (1 AST),-46,32,2,0,105,1,,1611661330,204322,2,2,201904,1611661330,100000
6,12,08:38,[DAL 4-2] Davis Floating Jump shot: Made (2 PTS) Assist: Johnson (1 AST),-36,113,2,0,78,1,,1611661321,1628273,2,4,203017,1611661321,120000
7,14,08:14,[ATL] Hayes 3pt Shot: Missed,84,223,3,0,79,2,,1611661330,203026,2,4,,1611661330,140000
9,16,08:07,[DAL] Harrison Running Layup Shot: Missed Block: Sykes (1 BLK),-22,13,2,1,41,2,1628279,1611661321,204330,2,4,,1611661321,160000
11,19,07:54,[ATL] Breland Pullup Jump shot: Missed,-48,128,2,0,79,2,,1611661330,202638,2,4,,1611661330,190000
13,21,07:37,[ATL 4-4] Montgomery Driving Layup Shot: Made (2 PTS),3,-2,2,0,6,1,,1611661330,201904,4,4,,1611661330,210000
14,22,07:28,[DAL] Hill 3pt Shot: Missed,74,221,3,0,79,2,,1611661321,203401,4,4,,1611661321,220000
16,24,07:17,[ATL] Hayes 3pt Shot: Missed,115,207,3,0,1,2,,1611661330,203026,4,4,,1611661330,240000
18,26,07:07,[ATL] Williams Driving Hook Shot: Missed,-21,26,2,0,57,2,,1611661330,204322,4,4,,1611661330,260000
23,32,06:40,[ATL] Hayes 3pt Shot: Missed,-231,3,3,0,1,2,,1611661330,203026,4,4,,1611661330,320000
25,34,06:32,[DAL] Ogunbowale Running Layup Shot: Missed,-8,19,2,1,41,2,,1611661321,1629481,4,4,,1611661321,340000
27,36,06:24,[ATL 7-4] Montgomery 3pt Shot: Made (5 PTS) Assist: Sykes (1 AST),-170,169,3,1,2,1,,1611661330,201904,7,4,1628279,1611661330,360000
28,38,06:04,[DAL] Ogunbowale 3pt Shot: Missed,-150,176,3,0,79,2,,1611661321,1629481,7,4,,1611661321,380000
30,40,05:55,[ATL 9-4] Montgomery Driving Floating Jump Shot: Made (7 PTS),81,51,2,1,101,1,,1611661330,201904,9,4,,1611661330,400000
34,45,05:22,[ATL 11-4] Coffey Driving Layup Shot: Made (2 PTS),-8,-5,2,0,6,1,,1611661330,1628269,11,4,,1611661330,450000
39,53,05:08,[DAL] Ogunbowale 3pt Shot: Missed,52,230,3,0,1,2,,1611661321,1629481,12,4,,1611661321,530000
43,59,04:53,[DAL 6-12] Ogunbowale Running Layup Shot: Made (2 PTS),2,-3,2,1,41,1,,1611661321,1629481,12,6,,1611661321,590000
45,62,04:32,[ATL 14-6] Breland Driving Layup Shot: Made (2 PTS),3,3,2,0,6,1,,1611661330,202638,14,6,,1611661330,620000
46,63,04:17,[DAL] Thornton Pullup Jump shot: Missed,-131,7,2,0,79,2,,1611661321,203866,14,6,,1611661321,630000
48,65,04:11,[DAL] Harrison Putback Layup Shot: Missed,-11,1,2,0,72,2,,1611661321,204330,14,6,,1611661321,650000
59,80,03:36,[DAL] Plaisance 3pt Shot: Missed,-160,190,3,0,1,2,,1611661321,203849,15,6,,1611661321,800000
61,82,03:27,[DAL 9-15] Gray 3pt Shot: Made (3 PTS) Assist: McCarty-Williams (1 AST),-91,223,3,0,79,1,,1611661321,1628277,15,9,1628907,1611661321,820000
63,88,02:55,[DAL] Plaisance Jump Shot: Missed,-114,125,2,0,1,2,,1611661321,203849,15,9,,1611661321,880000
67,93,02:38,[ATL 17-9] Hayes Driving Layup Shot: Made (2 PTS),-4,1,2,0,6,1,,1611661330,203026,17,9,,1611661330,930000
70,98,02:15,[DAL 11-17] Thornton Driving Floating Jump Shot: Made (2 PTS) Assist: Gray (1 AST),75,97,2,0,101,1,,1611661321,203866,17,11,1628277,1611661321,980000
71,100,01:50,[ATL 19-11] Coffey Driving Layup Shot: Made (5 PTS) Assist: Billings (1 AST),-4,6,2,0,6,1,,1611661330,1628269,19,11,1628881,1611661330,1000000
72,102,01:25,[DAL 14-19] Plaisance 3pt Shot: Made (3 PTS) Assist: Thornton (1 AST),185,145,3,0,1,1,,1611661321,203849,19,14,203866,1611661321,1020000
79,113,00:57.2,[DAL 16-20] Harrison Cutting Layup Shot: Made (2 PTS) Assist: Gray (2 AST),11,-6,2,0,98,1,,1611661321,204330,20,16,1628277,1611661321,1130000
